Address,Transactions,Year,Month,List Price,Sold Price,Sold/List Ratio,Property Type,SqFt,Beds,Baths
"912 19 Avenue Northwest, Calgary ",1,2024,September,"$699,800","$697,000",100%,House,"1,287",3,2
"#1107 175 Panatella Hill Northwest, Calgary ",1,2024,October,"$289,000","$284,250",98%,High Rise Apartment,842,2,2
"198 Panatella Park Northwest, Calgary ",1,2024,December,"$379,900","$380,000",100%,Not Applicable,"1,252",3,2
"#344 4525 31 Street Southwest, Calgary ",1,2024,December,"$349,000","$370,000",106%,Not Applicable,"1,105",3,1
"257 Pantego Close Northwest, Calgary ",1,2024,November,"$799,000","$785,000",98%,House,"2,606",5,4
"#6 28 Berwick Crescent Northwest, Calgary ",1,2024,November,"$424,900","$415,000",98%,Not Applicable,"1,301",2,2
"93 Cougarstone Place Southwest, Calgary ",1,2025,January,"$649,000","$670,000",103%,Half Duplex,"1,414",4,3
"112 Cranfield Park Southeast, Calgary ",1,2024,August,"$615,000","$605,000",98%,House,"1,547",4,2
"193 Citadel Circle Northwest, Calgary ",1,2024,November,"$649,900","$642,000",99%,House,"1,537",4,3
"#309 126 14 Avenue Southwest, Calgary ",1,2024,December,"$379,900","$368,000",97%,High Rise Apartment,900,2,2
"15 Royal Ridge Rise Northwest, Calgary ",1,2024,August,"$1,399,999","$1,400,000",100%,House,"2,093",3,3
"53 Strathlea Court Southwest, Calgary ",1,2024,September,"$1,375,000","$1,375,000",100%,House,"3,708",5,3
"59 Evansridge View Northwest, Calgary ",1,2024,October,"$1,329,900","$1,290,000",97%,House,"2,731",3,3
"75 Discovery Ridge Boulevard Southwest, Calgary ",1,2024,September,"$1,290,000","$1,282,000",99%,House,"3,296",5,3
"21 Elveden Point Southwest, Calgary ",1,2024,August,"$765,000","$730,000",95%,Vacant Land,0,0,0
"19 Millview Way Southwest, Calgary ",1,2024,September,"$374,900","$367,500",98%,Not Applicable,603,2,1
"116 Savanna Road Northeast, Calgary ",1,2025,January,"$599,900","$589,900",98%,House,"1,427",3,2
"932 Mckenzie Drive Southeast, Calgary ",1,2024,October,"$689,900","$679,000",98%,House,"1,723",4,3
"31 Tuscany Glen Park Northwest, Calgary ",1,2024,September,"$1,300,000","$1,350,000",104%,House,"2,626",5,3
"#401 23 Burma Star Road Southwest, Calgary ",1,2025,January,"$1,200,000","$1,185,000",99%,High Rise Apartment,"1,711",2,2
"149 Saddlebrook Way Northeast, Calgary ",1,2024,November,"$659,900","$650,000",98%,House,"1,436",4,3
"#1210 8880 Horton Road Southwest, Calgary ",1,2024,December,"$399,900","$391,500",98%,High Rise Apartment,"1,023",2,2
"805 15 Street Northwest, Calgary ",1,2024,September,"$675,000","$675,000",100%,House,707,2,1
"11 Aspen Ridge Lane Southwest, Calgary ",1,2024,October,"$1,990,000","$1,970,000",99%,House,"3,462",6,4
"192 Saddlebrook Circle Northeast, Calgary ",1,2024,August,"$595,000","$585,000",98%,House,"1,350",4,3
"116 Cranarch Crescent Southeast, Calgary ",1,2024,December,"$899,500","$865,000",96%,House,"2,503",3,2
"265 Saddlebrook Point Northeast, Calgary ",1,2025,January,"$322,888","$333,000",103%,Not Applicable,961,2,1
"71 Auburn Sound Cove Southeast, Calgary ",1,2024,December,"$2,550,000","$2,500,000",98%,House,"3,397",6,5
"1942 49 Avenue Southwest, Calgary ",1,2024,August,"$949,900","$949,900",100%,Half Duplex,"1,775",3,3
"82 Evansmeade Circle Northwest, Calgary ",1,2024,September,"$699,900","$710,000",101%,House,"1,900",5,3
"95 Carrington Close Northwest, Calgary ",1,2024,September,"$849,000","$833,000",98%,House,"2,368",3,2
"116 Covebrook Place Northeast, Calgary ",1,2024,October,"$647,000","$637,000",98%,House,"1,659",4,3
"195 Cedarwood Lane Southwest, Calgary ",1,2024,December,"$450,000","$455,000",101%,Not Applicable,"1,596",3,2
"124 Masters Street Southeast, Calgary ",1,2024,October,"$750,000","$745,000",99%,House,"2,061",4,2
"71 Mt Aberdeen Link Southeast, Calgary ",1,2024,December,"$609,000","$602,500",99%,House,"1,053",5,3
"200 Evanswood Circle Northwest, Calgary ",1,2024,October,"$640,000","$630,000",98%,Half Duplex,"2,049",4,3
"622 23 Avenue Northeast, Calgary ",1,2025,January,"$710,000","$729,888",103%,Half Duplex,"1,749",4,3
"210 Saratoga Close Northeast, Calgary ",1,2024,November,"$529,900","$509,990",96%,House,"1,379",4,4
"5232 Bowness Road Northwest, Calgary ",1,2024,November,"$799,900","$777,500",97%,Half Duplex,"1,690",4,3
"16161 Shawbrooke Road Southwest, Calgary ",1,2024,November,"$649,500","$640,000",99%,House,"1,606",3,3
"16270 Shawbrooke Drive Southwest, Calgary ",1,2024,September,"$600,000","$602,000",100%,House,"1,282",4,3
"#2706 510 6 Avenue Southeast, Calgary ",1,2024,November,"$675,000","$675,000",100%,High Rise Apartment,"1,285",2,2
"#1208 24 Hemlock Crescent Southwest, Calgary ",1,2025,January,"$558,000","$573,000",103%,High Rise Apartment,"1,490",2,2
"18 Discovery Heights Southwest, Calgary ",1,2024,October,"$600,000","$610,000",102%,Not Applicable,"1,595",2,2
"#101 516 Cedar Crescent Southwest, Calgary ",1,2024,September,"$308,000","$306,000",99%,High Rise Apartment,970,2,1
"#109 428 Chaparral Ravine View Southeast, Calgary ",1,2024,August,"$372,000","$355,000",95%,High Rise Apartment,892,2,2
"#211 5115 Richard Road Southwest, Calgary ",1,2024,December,"$349,900","$340,000",97%,High Rise Apartment,916,2,2
"#3114 522 Cranford Drive Southeast, Calgary ",1,2025,January,"$397,600","$390,000",98%,High Rise Apartment,942,2,2
"58 Kincora Manor Northwest, Calgary ",1,2024,November,"$599,900","$580,000",97%,House,"1,844",3,2
"13 Edgeford Road Northwest, Calgary ",1,2024,November,"$569,000","$559,000",98%,House,879,3,2
"1011 Mckenzie Drive Southeast, Calgary ",1,2024,August,"$529,900","$564,000",106%,House,948,4,2
"104 Mckerrell Crescent Southeast, Calgary ",1,2024,September,"$592,000","$592,000",100%,House,"1,061",4,2
"19 Mt Mckenzie Way Southeast, Calgary ",1,2025,January,"$475,000","$480,000",101%,Not Applicable,"1,354",2,2
"#1220 10 Auburn Bay Avenue Southeast, Calgary ",1,2024,November,"$445,900","$439,000",98%,Not Applicable,"1,446",2,3
"208 Mt Selkirk Close Southeast, Calgary ",1,2025,January,"$674,900","$700,000",104%,House,"1,531",4,2
"131 Coverdale Way Northeast, Calgary ",1,2025,January,"$499,900","$527,000",105%,House,965,3,2
"277 Mt Aberdeen Close Southeast, Calgary ",1,2024,September,"$595,000","$610,000",103%,House,"1,540",4,3
"355 Mt Sparrowhawk Place Southeast, Calgary ",1,2024,September,"$868,900","$865,000",100%,House,"2,087",4,2
"#301 1526 9 Avenue Southeast, Calgary ",1,2025,January,"$339,900","$335,000",99%,High Rise Apartment,708,1,1
"521 36 Street Southwest, Calgary ",1,2024,September,"$989,900","$975,000",98%,Half Duplex,"1,889",4,3
"#1104 55 Spruce Place Southwest, Calgary ",1,2024,August,"$299,900","$295,000",98%,High Rise Apartment,623,1,1
"107 Auburn Sound Cove Southeast, Calgary ",1,2024,September,"$1,275,000","$1,207,500",95%,House,"2,706",4,3
"#2126 10 Prestwick Bay Southeast, Calgary ",1,2024,November,"$337,000","$327,000",97%,High Rise Apartment,987,2,2
"#305 55 Spruce Place Southwest, Calgary ",1,2024,December,"$339,000","$335,000",99%,High Rise Apartment,757,2,2
"#1417 10 Prestwick Bay Southeast, Calgary ",1,2024,December,"$318,000","$314,000",99%,High Rise Apartment,838,2,2
"#2128 48 Inverness Gate Southeast, Calgary ",1,2024,October,"$449,900","$450,000",100%,High Rise Apartment,"1,096",2,2
"#2408 4975 130 Avenue Southeast, Calgary ",1,2024,November,"$305,000","$300,000",98%,High Rise Apartment,875,2,1
"155 Somerglen Common Southwest, Calgary ",1,2024,October,"$624,900","$625,000",100%,House,"1,518",3,2
"15 Prestwick Row Southeast, Calgary ",1,2025,January,"$579,900","$572,500",99%,House,"1,066",4,2
"246 Prestwick Close Southeast, Calgary ",1,2024,November,"$635,000","$618,000",97%,House,"1,467",4,3
"140 Auburn Sound Manor Southeast, Calgary ",1,2024,November,"$1,075,000","$1,060,000",99%,House,"3,016",4,3
"#87 2300 Oakmoor Drive Southwest, Calgary ",1,2024,September,"$420,000","$421,000",100%,Not Applicable,"1,228",3,1
"2408 Palismount Place Southwest, Calgary ",1,2024,August,"$875,000","$865,000",99%,House,"1,269",4,2
"75 Royal Birch Circle Northwest, Calgary ",1,2024,September,"$749,900","$740,000",99%,House,"1,781",4,3
"86 Queen Alexandra Close Southeast, Calgary ",1,2024,October,"$385,000","$397,500",103%,Half Duplex,468,2,1
"207 Parkglen Crescent Southeast, Calgary ",1,2024,September,"$899,900","$875,500",97%,House,"1,388",4,3
"38 Armstrong Crescent Southeast, Calgary ",1,2024,December,"$764,900","$750,000",98%,House,"1,031",4,3
"#306 40 Parkridge View Southeast, Calgary ",1,2024,August,"$399,800","$395,000",99%,High Rise Apartment,"1,110",2,2
"#310 6603 New Brighton Avenue Southeast, Calgary ",1,2024,September,"$359,900","$360,000",100%,High Rise Apartment,911,2,2
"#1009 1122 3 Street Southeast, Calgary ",1,2024,December,"$515,000","$485,000",94%,High Rise Apartment,903,2,2
"#1102 1122 3 Street Southeast, Calgary ",1,2024,December,"$395,000","$391,888",99%,High Rise Apartment,741,2,2
"#706 1410 1 Street Southeast, Calgary ",1,2024,December,"$399,900","$388,000",97%,High Rise Apartment,950,2,2
"#1006 77 Spruce Place Southwest, Calgary ",1,2024,October,"$380,000","$372,500",98%,High Rise Apartment,916,2,2
"#32 2323 Oakmoor Drive Southwest, Calgary ",1,2025,January,"$399,900","$445,000",111%,Not Applicable,"1,226",3,3
"2615 39 Street Southeast, Calgary ",1,2024,September,"$475,000","$467,500",98%,House,960,1,1
"224 Queen Charlotte Way Southeast, Calgary ",1,2025,January,"$649,900","$640,000",98%,House,"1,527",4,2
"147 Auburn Bay Crescent Southeast, Calgary ",1,2024,December,"$599,900","$599,900",100%,House,"1,462",4,3
"#614 111 14 Avenue Southeast, Calgary ",1,2025,January,"$279,900","$270,000",96%,High Rise Apartment,818,2,1
"44 Aberfoyle Close Northeast, Calgary ",1,2024,October,"$639,900","$645,000",101%,House,"1,130",5,2
"#411 1717 60 Street Southeast, Calgary ",1,2024,October,"$219,900","$214,900",98%,High Rise Apartment,527,1,1
"968 Abbeydale Drive Northeast, Calgary ",1,2024,September,"$459,888","$542,500",118%,House,"1,583",5,2
"#1204 6224 17 Avenue Southeast, Calgary ",1,2024,September,"$284,900","$280,000",98%,High Rise Apartment,849,2,2
"#1213 6224 17 Avenue Southeast, Calgary ",1,2024,October,"$285,000","$275,000",96%,High Rise Apartment,844,2,1
"#442 1717 60 Street Southeast, Calgary ",1,2024,August,"$225,000","$229,500",102%,High Rise Apartment,675,2,1
"#1320 6224 17 Avenue Southeast, Calgary ",1,2024,August,"$269,900","$265,000",98%,High Rise Apartment,846,2,2
"17 Ranchero Bay Northwest, Calgary ",1,2025,January,"$449,900","$440,000",98%,Half Duplex,"1,163",3,1
"#2200 6224 17 Avenue Southeast, Calgary ",1,2025,January,"$292,929","$286,800",98%,High Rise Apartment,971,2,2
"#2217 6224 17 Avenue Southeast, Calgary ",1,2025,January,"$232,000","$225,000",97%,High Rise Apartment,719,1,1
"#2217 6224 17 Avenue Southeast, Calgary ",2,2024,October,"$222,900","$222,900",100%,High Rise Apartment,719,1,1
"170 Auburn Sound Close Southeast, Calgary ",1,2024,December,"$824,900","$812,500",98%,House,"2,482",4,2
"148 Legacy Point Southeast, Calgary ",1,2024,September,"$529,900","$529,100",100%,Not Applicable,"1,722",3,2
"343 Penworth Way Southeast, Calgary ",1,2024,December,"$519,900","$520,000",100%,House,963,5,2
"#323 860 Midridge Drive Southeast, Calgary ",1,2024,October,"$279,900","$267,000",95%,High Rise Apartment,865,2,1
"#104 200 Auburn Meadows Common Southeast, Calgary ",1,2024,September,"$419,900","$415,000",99%,High Rise Apartment,955,2,2
"#3113 755 Copperpond Boulevard Southeast, Calgary ",1,2024,November,"$259,000","$255,000",98%,High Rise Apartment,560,1,1
"#4417 99 Copperstone Park Southeast, Calgary ",1,2024,December,"$350,000","$350,000",100%,High Rise Apartment,802,2,2
"159 Cramond Green Southeast, Calgary ",1,2024,October,"$499,900","$507,150",101%,Half Duplex,"1,201",3,2
"163 Cranarch Circle Southeast, Calgary ",1,2025,January,"$925,000","$960,100",104%,House,"2,787",5,3
"202 Auburn Sound Manor Southeast, Calgary ",1,2024,September,"$985,000","$985,000",100%,House,"2,484",4,3
"505 Cranford Drive Southeast, Calgary ",1,2024,August,"$799,900","$795,000",99%,House,"2,075",5,3
"#102 99 Spruce Place Southwest, Calgary ",1,2025,January,"$482,900","$465,000",96%,Not Applicable,"1,300",2,2
"138 Tarawood Road Northeast, Calgary ",1,2025,January,"$619,900","$610,500",98%,House,"1,311",4,3
"132 Douglas Woods Drive Southeast, Calgary ",1,2024,November,"$849,900","$840,000",99%,House,"2,462",5,3
"3406 Douglasdale Boulevard Southeast, Calgary ",1,2024,October,"$894,900","$875,000",98%,House,"1,717",3,3
"166 Valleyview Court Southeast, Calgary ",1,2024,August,"$629,900","$625,000",99%,House,"1,062",4,2
"26 Dovercliffe Close Southeast, Calgary ",1,2024,August,"$559,999","$555,000",99%,House,"1,157",5,2
"105 Valleyview Court Southeast, Calgary ",1,2024,August,"$734,900","$732,200",100%,House,"1,992",5,3
"#2303 221 6 Avenue Southeast, Calgary ",1,2024,October,"$223,800","$210,000",94%,High Rise Apartment,681,1,1
"3920 28 Street Southeast, Calgary ",1,2024,September,"$528,888","$517,000",98%,House,"1,011",5,2
"#1707 510 6 Avenue Southeast, Calgary ",1,2024,October,"$359,900","$354,000",98%,High Rise Apartment,593,1,1
"#216 535 8 Avenue Southeast, Calgary ",1,2024,November,"$349,000","$347,500",100%,High Rise Apartment,782,1,1
"#405 535 8 Avenue Southeast, Calgary ",1,2024,August,"$339,000","$327,500",97%,High Rise Apartment,607,0,1
"#212 630 8 Avenue Southeast, Calgary ",1,2024,September,"$275,000","$270,000",98%,High Rise Apartment,555,1,1
"#212 270 Shawville Way Southeast, Calgary ",1,2024,October,"$299,900","$300,000",100%,High Rise Apartment,935,2,2
"182 Riverview Point Southeast, Calgary ",1,2024,November,"$450,000","$465,000",103%,Not Applicable,981,4,2
"2012 22 Avenue Northwest, Calgary ",1,2024,December,"$1,289,900","$1,270,000",98%,House,"2,462",4,3
"2021 21 Avenue Northwest, Calgary ",1,2024,October,"$699,900","$812,500",116%,House,"1,035",3,2
"3420 Exshaw Road Northwest, Calgary ",1,2024,September,"$1,288,800","$1,260,000",98%,House,"2,136",4,3
"2116 15 Street Southwest, Calgary ",1,2024,August,"$1,099,900","$1,040,000",95%,House,"3,268",3,2
"2123 16 Street Southwest, Calgary ",1,2024,August,"$769,900","$769,900",100%,House,"1,542",3,1
"2412 44 Street Southeast, Calgary ",1,2024,October,"$519,999","$522,000",100%,House,"1,028",3,1
"2507 19 Street Southwest, Calgary ",1,2024,November,"$1,999,900","$1,975,000",99%,House,"3,609",4,3
"#221 2233 34 Avenue Southwest, Calgary ",1,2024,November,"$325,000","$325,000",100%,High Rise Apartment,569,1,1
"48 Amiens Crescent Southwest, Calgary ",1,2024,November,"$1,399,990","$1,350,000",96%,House,"2,360",4,4
"64 Glamis Gardens Southwest, Calgary ",1,2024,September,"$529,900","$529,000",100%,Not Applicable,"1,494",3,2
"#3203 80 Glamis Drive Southwest, Calgary ",1,2024,October,"$219,900","$219,900",100%,High Rise Apartment,707,1,1
"#3208 80 Glamis Drive Southwest, Calgary ",1,2024,December,"$235,000","$229,000",97%,High Rise Apartment,"1,073",2,1
"#34 3015 51 Street Southwest, Calgary ",1,2024,December,"$314,900","$310,000",98%,House,948,2,1
"3118 38 Street Southwest, Calgary ",1,2024,December,"$775,000","$765,000",99%,House,"1,804",3,3
"#1306 3115 51 Street Southwest, Calgary ",1,2024,August,"$275,000","$274,000",100%,High Rise Apartment,756,2,1
"92 Silverado Skies Manor Southwest, Calgary ",1,2024,October,"$874,900","$860,000",98%,House,"2,489",4,3
"#224 6868 Sierra Morena Boulevard Southwest, Calgary ",1,2024,September,"$484,900","$480,000",99%,High Rise Apartment,"1,247",2,2
"#1215 8710 Horton Road Southwest, Calgary ",1,2024,August,"$199,900","$205,000",103%,High Rise Apartment,485,1,1
"#2 2428 29 Street Southwest, Calgary ",1,2024,August,"$649,900","$610,000",94%,Not Applicable,"1,096",3,3
"412 Brookpark Drive Southwest, Calgary ",1,2025,January,"$925,000","$920,000",99%,House,"1,754",5,3
"1131 Millcrest Rise Southwest, Calgary ",1,2025,January,"$589,000","$575,000",98%,House,"1,549",3,2
"#102 705 56 Avenue Southwest, Calgary ",1,2024,October,"$334,900","$334,000",100%,High Rise Apartment,983,2,2
"11 Aberdare Way Northeast, Calgary ",1,2024,October,"$500,000","$495,000",99%,House,889,3,2
"#40 10030 Oakmoor Way Southwest, Calgary ",1,2024,October,"$510,000","$512,000",100%,Not Applicable,"1,601",3,4
"#1302 2520 Palliser Drive Southwest, Calgary ",1,2025,February,"$285,000","$275,000",96%,Not Applicable,"1,016",2,1
"#1401 2520 Palliser Drive Southwest, Calgary ",1,2024,October,"$324,900","$320,000",98%,House,"1,063",3,2
"#506 1108 6 Avenue Southwest, Calgary ",1,2024,December,"$320,000","$302,500",95%,High Rise Apartment,788,1,1
"21 Holden Road Southwest, Calgary ",1,2024,November,"$707,000","$755,000",107%,House,"1,092",4,2
"#1209 9800 Horton Road Southwest, Calgary ",1,2025,January,"$239,900","$235,000",98%,High Rise Apartment,929,2,1
"1431 39 Street Southwest, Calgary ",1,2024,November,"$825,000","$810,000",98%,Half Duplex,"1,976",4,3
"#52 11407 Braniff Road Southwest, Calgary ",1,2024,August,"$375,000","$372,500",99%,Not Applicable,"1,109",3,1
"118 Copperpond Landing Southeast, Calgary ",1,2025,January,"$419,900","$415,500",99%,Not Applicable,"1,222",2,2
"#234 5000 Somervale Court Southwest, Calgary ",1,2024,September,"$299,900","$295,000",98%,High Rise Apartment,845,2,1
"#413 5000 Somervale Court Southwest, Calgary ",1,2024,October,"$250,000","$255,000",102%,High Rise Apartment,746,2,1
"#403 6000 Somervale Court Southwest, Calgary ",1,2024,August,"$299,999","$300,000",100%,High Rise Apartment,820,2,2
"#410 6000 Somervale Court Southwest, Calgary ",1,2024,December,"$244,000","$235,000",96%,High Rise Apartment,680,1,1
"12 Bermuda Court Northwest, Calgary ",1,2024,November,"$549,900","$550,000",100%,House,"1,309",3,2
"#306 1631 28 Avenue Southwest, Calgary ",1,2024,September,"$384,900","$375,000",97%,High Rise Apartment,"1,325",2,2
"1928 29 Avenue Southwest, Calgary ",1,2025,January,"$515,000","$480,000",93%,Half Duplex,"1,230",2,2
"#307 2440 34 Avenue Southwest, Calgary ",1,2024,December,"$420,000","$399,700",95%,High Rise Apartment,"1,006",2,2
"#408 3375 15 Street Southwest, Calgary ",1,2024,September,"$639,900","$619,000",97%,High Rise Apartment,"1,077",2,2
"#504 3410 20 Street Southwest, Calgary ",1,2024,September,"$430,000","$430,000",100%,High Rise Apartment,"1,056",2,2
"#612 924 14 Avenue Southwest, Calgary ",1,2024,October,"$214,900","$200,000",93%,High Rise Apartment,638,1,1
"#505 1111 10 Street Southwest, Calgary ",1,2025,February,"$337,500","$330,000",98%,High Rise Apartment,650,1,1
"#308 788 12 Avenue Southwest, Calgary ",1,2024,September,"$575,400","$559,800",97%,High Rise Apartment,"1,307",2,2
"#606 1140 15 Avenue Southwest, Calgary ",1,2025,January,"$395,000","$390,000",99%,High Rise Apartment,900,2,1
"#408 836 15 Avenue Southwest, Calgary ",1,2024,October,"$304,900","$300,000",98%,High Rise Apartment,681,1,1
"#2 538 23 Avenue Southwest, Calgary ",1,2025,January,"$985,000","$972,500",99%,Not Applicable,"1,889",2,2
"#708 901 10 Avenue Southwest, Calgary ",1,2024,December,"$457,500","$451,200",99%,High Rise Apartment,746,2,2
"#223 527 15 Avenue Southwest, Calgary ",1,2024,December,"$339,900","$332,400",98%,High Rise Apartment,855,2,1
"145 Belmont Villas Southwest, Calgary ",1,2024,December,"$779,000","$750,000",96%,House,"2,096",4,3
"2229 30 Street Southwest, Calgary ",1,2024,September,"$859,990","$849,000",99%,Half Duplex,"1,636",4,3
"#203 1027 12 Avenue Southwest, Calgary ",1,2024,August,"$193,900","$192,000",99%,High Rise Apartment,476,1,1
"#802 1053 10 Street Southwest, Calgary ",1,2024,November,"$359,900","$353,000",98%,High Rise Apartment,821,2,2
"1412 70 Avenue Southwest, Calgary ",1,2024,December,"$1,650,000","$1,590,000",96%,House,"2,438",5,3
"#2 1936 33 Street Southwest, Calgary ",1,2024,December,"$619,900","$620,000",100%,Not Applicable,"1,336",3,3
"#105 1939 30 Street Southwest, Calgary ",1,2024,November,"$390,000","$387,000",99%,High Rise Apartment,913,2,2
"#112 1117 1 Street Southwest, Calgary ",1,2024,October,"$649,900","$630,000",97%,High Rise Apartment,"1,079",1,1
"#8 104 Sabrina Way Southwest, Calgary ",1,2024,October,"$179,900","$167,000",93%,High Rise Apartment,504,1,1
"#3 104 Sabrina Way Southwest, Calgary ",1,2024,August,"$180,000","$180,000",100%,High Rise Apartment,479,1,1
"#1331 8 Bridlecrest Drive Southwest, Calgary ",1,2024,October,"$319,900","$314,000",98%,High Rise Apartment,750,2,2
"#2317 8 Bridlecrest Drive Southwest, Calgary ",1,2024,December,"$215,000","$198,000",92%,High Rise Apartment,446,1,1
"#2138 8 Bridlecrest Drive Southwest, Calgary ",1,2024,October,"$260,000","$245,000",94%,High Rise Apartment,681,1,1
"#8205 315 Southampton Drive Southwest, Calgary ",1,2025,January,"$245,000","$235,000",96%,High Rise Apartment,810,2,1
"3818 Sarcee Road Southwest, Calgary ",1,2024,November,"$1,199,900","$1,160,000",97%,House,"2,111",4,3
"199 Tremblant Way Southwest, Calgary ",1,2024,August,"$950,000","$988,000",104%,House,"2,353",3,2
"210 Fortress Bay Southwest, Calgary ",1,2024,October,"$1,950,000","$1,842,500",94%,House,"3,618",5,6
"#308 26 Val Gardena View Southwest, Calgary ",1,2024,October,"$279,000","$276,000",99%,High Rise Apartment,628,1,1
"#802 1088 6 Avenue Southwest, Calgary ",1,2024,August,"$445,000","$424,000",95%,High Rise Apartment,"1,092",2,2
"#507 1108 6 Avenue Southwest, Calgary ",1,2024,August,"$358,800","$357,000",99%,High Rise Apartment,"1,158",2,2
"#905 1100 8 Avenue Southwest, Calgary ",1,2024,December,"$329,000","$305,000",93%,High Rise Apartment,"1,213",2,2
"#1504 1111 6 Avenue Southwest, Calgary ",1,2024,October,"$269,900","$260,000",96%,High Rise Apartment,545,1,1
"#2102 683 10 Street Southwest, Calgary ",1,2024,December,"$1,199,000","$1,160,000",97%,High Rise Apartment,"2,656",3,2
"#141 69 Springborough Court Southwest, Calgary ",1,2024,October,"$365,000","$365,000",100%,High Rise Apartment,816,2,2
"#615 1111 6 Avenue Southwest, Calgary ",1,2024,August,"$266,500","$259,000",97%,High Rise Apartment,502,1,1
"#323 69 Springborough Court Southwest, Calgary ",1,2024,August,"$384,900","$375,500",98%,High Rise Apartment,878,2,2
"#1201 7451 Springbank Boulevard Southwest, Calgary ",1,2025,January,"$425,000","$420,000",99%,High Rise Apartment,"1,435",3,2
"7866 Springbank Way Southwest, Calgary ",1,2024,October,"$949,900","$940,000",99%,House,"2,131",4,3
"#2308 24 Hemlock Crescent Southwest, Calgary ",1,2024,October,"$617,000","$598,670",97%,High Rise Apartment,"1,481",2,2
"#4202 24 Hemlock Crescent Southwest, Calgary ",1,2024,August,"$425,000","$429,000",101%,High Rise Apartment,"1,107",2,2
"#4205 24 Hemlock Crescent Southwest, Calgary ",1,2024,November,"$415,000","$408,000",98%,High Rise Apartment,"1,085",2,2
"#403 4 Hemlock Crescent Southwest, Calgary ",1,2024,December,"$635,000","$635,000",100%,High Rise Apartment,"1,405",2,2
"#1401 55 Spruce Place Southwest, Calgary ",1,2024,August,"$310,000","$304,500",98%,High Rise Apartment,608,1,1
"#1507 55 Spruce Place Southwest, Calgary ",1,2024,November,"$374,900","$360,000",96%,High Rise Apartment,888,2,2
"#1701 55 Spruce Place Southwest, Calgary ",1,2024,November,"$299,900","$293,000",98%,High Rise Apartment,608,1,1
"#605 77 Spruce Place Southwest, Calgary ",1,2025,January,"$359,900","$336,000",93%,High Rise Apartment,928,2,2
"#1107 99 Spruce Place Southwest, Calgary ",1,2024,November,"$459,000","$447,000",97%,High Rise Apartment,"1,199",3,2
"#1205 99 Spruce Place Southwest, Calgary ",1,2024,September,"$399,990","$395,000",99%,High Rise Apartment,949,2,2
"1514 22 Avenue Southwest, Calgary ",1,2025,January,"$1,525,000","$1,525,000",100%,House,"2,454",4,3
"#403 3131 63 Avenue Southwest, Calgary ",1,2024,September,"$514,900","$501,000",97%,Not Applicable,"1,416",2,1
"30 Covewood Place Northeast, Calgary ",1,2024,December,"$579,990","$565,000",97%,House,"1,278",3,2
"14 Silverado Plains Manor Southwest, Calgary ",1,2024,October,"$589,900","$581,500",99%,House,"1,510",3,2
"#109 35 Richard Court Southwest, Calgary ",1,2024,August,"$275,000","$275,000",100%,High Rise Apartment,596,1,1
"2038 41 Avenue Southwest, Calgary ",1,2024,September,"$1,400,000","$1,350,000",96%,House,"1,958",4,3
